"condition","marker","day","mean","sd","n"
"Condition 6","Intracellular HBV DNA",6,445833333.333333,121715172.979105,3
"Condition 6","Intracellular HBV DNA",9,1947500000,608948889.480882,3
"Condition 6","Intracellular HBV DNA",12,3950833333.33333,1473750176.70341,3
"Condition 6","Intracellular HBV DNA",18,4041666666.66667,128290035.986172,3
"Condition 6","Intracellular HBV DNA",24,3.05e+09,438035386.698381,3
"Condition 6","Intracellular HBV DNA",30,3430806458.33333,195030521.953339,3
"Condition 6","Intracellular HBV DNA",32,2118066718.75,94960448.6100383,3
"Condition 6","Intracellular HBV DNA",34,2568757291.66667,212716543.360803,3
"Condition 6","Intracellular HBV DNA",36,1498993567.70833,261311932.606999,3
"Condition 6","Intracellular HBV DNA",39,1327820494.79167,45977317.6450261,3
"Condition 6","Intracellular HBV DNA",42,1483735260.41667,384723063.50331,3
"Condition 6","Intracellular HBV DNA",45,638606992.1875,315752340.232852,3
"Condition 6","Intracellular HBV DNA",47,633164192.708333,40591086.7008719,3
"Condition 6","Intracellular HBV DNA",49,547342343.75,47876702.5315624,3
"Condition 6","Intracellular HBV DNA",51,860394270.833333,227676761.380433,3
"Condition 6","Intracellular HBV DNA",54,745697682.291667,65655434.8429442,3
"Condition 6","Intracellular HBV DNA",57,585232617.1875,24676613.8912311,3
"Condition 6","Intracellular HBV DNA",60,524441549.479167,121893173.39067,3
"Condition 6","cccDNA",2,32984.321085612,2497.56046585269,3
"Condition 6","cccDNA",4,156092.09391276,26615.7297558069,3
"Condition 6","cccDNA",6,2685845.1171875,502971.464077271,3
"Condition 6","cccDNA",9,16961862.5,1624568.75749523,3
"Condition 6","cccDNA",12,42937208.3333333,2330473.82753456,3
"Condition 6","cccDNA",18,79203220.8333333,9960423.21890101,3
"Condition 6","cccDNA",24,81484950,13722483.1563991,3
"Condition 6","cccDNA",30,163583333.333333,18752222.0905506,3
"Condition 6","cccDNA",32,99387966.6666667,5015438.06017018,3
"Condition 6","cccDNA",34,103756554.166667,6124891.17055845,3
"Condition 6","cccDNA",36,87925537.5,10308513.8650675,3
"Condition 6","cccDNA",39,78051527.0833333,4450027.79637269,3
"Condition 6","cccDNA",42,80166666.6666667,4932882.86231625,3
"Condition 6","cccDNA",45,44533333.3333333,21353941.8687355,3
"Condition 6","cccDNA",47,3.6e+07,2179449.47177034,3
"Condition 6","cccDNA",49,29666666.6666667,803637.56341608,3
"Condition 6","cccDNA",51,5.6e+07,7013380.06955277,3
"Condition 6","cccDNA",54,34333333.3333333,4639055.21990559,3
"Condition 6","cccDNA",57,38166666.6666667,1258305.73921179,3
"Condition 6","cccDNA",60,29750000,3774917.21763537,3
"Condition 7","Intracellular HBV DNA",2,330833.333333333,86470.1297173384,3
"Condition 7","Intracellular HBV DNA",4,26858333.3333333,3361206.38065165,3
"Condition 7","Intracellular HBV DNA",6,445833333.333333,121715172.979105,3
"Condition 7","Intracellular HBV DNA",9,1947500000,608948889.480882,3
"Condition 7","Intracellular HBV DNA",12,3950833333.33333,1473750176.70341,3
"Condition 7","Intracellular HBV DNA",18,4041666666.66667,128290035.986172,3
"Condition 7","Intracellular HBV DNA",24,3.05e+09,438035386.698381,3
