"day","replicate","copies_per_well","condition","marker"
32,"Replicate 2",106579637.5,"Condition 4","cccDNA"
32,"Replicate 3",134558987.5,"Condition 4","cccDNA"
34,"Replicate 1",120272025,"Condition 4","cccDNA"
34,"Replicate 2",122768687.5,"Condition 4","cccDNA"
34,"Replicate 3",131078337.5,"Condition 4","cccDNA"
36,"Replicate 1",108234062.5,"Condition 4","cccDNA"
36,"Replicate 2",104565981.25,"Condition 4","cccDNA"
36,"Replicate 3",98510131.25,"Condition 4","cccDNA"
39,"Replicate 1",90975875,"Condition 4","cccDNA"
39,"Replicate 2",94621406.25,"Condition 4","cccDNA"
39,"Replicate 3",95107143.75,"Condition 4","cccDNA"
42,"Replicate 1",123494862.5,"Condition 4","cccDNA"
42,"Replicate 2",96185031.25,"Condition 4","cccDNA"
42,"Replicate 3",131391975,"Condition 4","cccDNA"
48,"Replicate 1",56365468.75,"Condition 4","cccDNA"
48,"Replicate 2",62156731.25,"Condition 4","cccDNA"
48,"Replicate 3",86036387.5,"Condition 4","cccDNA"
54,"Replicate 1",48869959.375,"Condition 4","cccDNA"
54,"Replicate 2",47380906.25,"Condition 4","cccDNA"
54,"Replicate 3",54073950,"Condition 4","cccDNA"
60,"Replicate 1",62711281.25,"Condition 4","cccDNA"
60,"Replicate 2",46393031.25,"Condition 4","cccDNA"
60,"Replicate 3",63401187.5,"Condition 4","cccDNA"
2,"Replicate 1",48746.9055175781,"Condition 5","cccDNA"
2,"Replicate 2",56765.1245117188,"Condition 5","cccDNA"
2,"Replicate 3",62145.3857421875,"Condition 5","cccDNA"
4,"Replicate 1",87835.0402832031,"Condition 5","cccDNA"
4,"Replicate 2",139841.882324219,"Condition 5","cccDNA"
4,"Replicate 3",172728.356933594,"Condition 5","cccDNA"
6,"Replicate 1",151723.461914062,"Condition 5","cccDNA"
6,"Replicate 2",151864.526367188,"Condition 5","cccDNA"
6,"Replicate 3",207210.473632812,"Condition 5","cccDNA"
9,"Replicate 1",244651.196289062,"Condition 5","cccDNA"
9,"Replicate 2",200482.763671875,"Condition 5","cccDNA"
9,"Replicate 3",383756.298828125,"Condition 5","cccDNA"
12,"Replicate 1",182287.341308594,"Condition 5","cccDNA"
12,"Replicate 2",157109.118652344,"Condition 5","cccDNA"
12,"Replicate 3",230277.294921875,"Condition 5","cccDNA"
18,"Replicate 1",409398.779296875,"Condition 5","cccDNA"
18,"Replicate 2",232357.8125,"Condition 5","cccDNA"
18,"Replicate 3",366533.569335938,"Condition 5","cccDNA"
24,"Replicate 1",49190.2740478516,"Condition 5","cccDNA"
24,"Replicate 2",61112.5244140625,"Condition 5","cccDNA"
